Code Domaine,Domaine,Code Pays,Pays,Code Élément,Élément,Code Produit,Produit,Code Année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires","2","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2013","2013","Kcal/personne/jour","2090","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2013","2013","g/personne/jour","58.25","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2013","2013","Kcal/personne/jour","3022","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2013","2013","g/personne/jour","85.33","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","3","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2013","2013","Kcal/personne/jour","3193","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2013","2013","g/personne/jour","111.42","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","4","Algérie","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2013","2013","Kcal/personne/jour","3296","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","4","Algérie","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2013","2013","g/personne/jour","91.96","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","79","Allemagne","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2013","2013","Kcal/personne/jour","3499","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","79","Allemagne","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2013","2013","g/personne/jour","101.59","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","7","Angola","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2013","2013","Kcal/personne/jour","2473","Fc","Donnée calculée"
