Code Domaine,Domaine,Code Pays,Pays,Code Élément,Élément,Code Produit,Produit,Code Année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires","2","Afghanistan","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","48","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","356","S","Données standardisées"
"FBS","Bilans Alimentaires","3","Albanie","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","25","S","Données standardisées"
"FBS","Bilans Alimentaires","4","Algérie","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","3","S","Données standardisées"
"FBS","Bilans Alimentaires","79","Allemagne","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","788","S","Données standardisées"
"FBS","Bilans Alimentaires","7","Angola","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","342","S","Données standardisées"
"FBS","Bilans Alimentaires","8","Antigua-et-Barbuda","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","6","S","Données standardisées"
"FBS","Bilans Alimentaires","194","Arabie saoudite","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","879","S","Données standardisées"
"FBS","Bilans Alimentaires","9","Argentine","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","4","S","Données standardisées"
"FBS","Bilans Alimentaires","1","Arménie","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","32","S","Données standardisées"
"FBS","Bilans Alimentaires","10","Australie","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","17","S","Données standardisées"
"FBS","Bilans Alimentaires","11","Autriche","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","105","S","Données standardisées"
"FBS","Bilans Alimentaires","52","Azerbaïdjan","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","5","S","Données standardisées"
"FBS","Bilans Alimentaires","12","Bahamas","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","19","S","Données standardisées"
"FBS","Bilans Alimentaires","16","Bangladesh","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","0","S","Données standardisées"
