Pays,%evopop,PIB/hab,%protani,Dispoalim(Kcal/hab/an),Dispoprot(kg/hab/an),impvola,clusters
Arménie,-0.5058420614671544,3843.590750884134,48.034207019102624,1068720.0,32.8646,32000000.0,3
Afghanistan,16.25870872646109,681.0339739883992,20.978540772532188,762850.0,21.26125,48000000.0,2
Albanie,-2.4291937796220187,4376.9705485961185,53.32974331358823,1165445.0,40.6683,25000000.0,3
Algérie,9.976407540694465,5471.866638086216,27.174858634188777,1203040.0,33.5654,3000000.0,3
Angola,19.480850132953908,5258.408672245998,32.1341250436605,902645.0,20.8999,342000000.0,2
Antigua-et-Barbuda,5.780834360604681,12224.86491045142,67.88914108230797,882205.0,30.554149999999996,6000000.0,3
Argentine,5.342764639308517,14417.421454316154,65.2182385035074,1178585.0,37.4636,4000000.0,3
Australie,8.472468516213173,66301.30678822252,67.4444862627023,1195740.0,38.7922,17000000.0,5
Autriche,2.8701846733440783,50137.51957907067,59.18463421523398,1375320.0,38.76665,105000000.0,5
Bahamas,8.192132524177165,28303.46728872866,65.14661740937427,974550.0,31.616300000000003,19000000.0,3
Barbade,1.8714909544603975,15755.427260724437,57.2529465095195,1072005.0,32.2076,1000000.0,3
Bangladesh,5.890548066892065,974.193540597484,17.76504297994269,894250.0,20.3816,0.0,2
Bermudes,-2.8688588007736993,90329.78604769717,66.39497742042076,974915.0,33.13835,4000000.0,5
Bolivie (État plurinational de),8.337719684307743,2947.938521560606,45.08407816997425,823440.0,24.09365,1000000.0,2
Botswana,9.358846374574782,7001.027578015952,40.71847055195806,848990.0,23.6739,6000000.0,2
Brésil,4.886335602818281,12216.965936017987,55.36372249710496,1190995.0,34.67135,3000000.0,3
Belize,12.41683406006564,4688.538879252487,39.511396205814115,1004115.0,26.74355,0.0,3
Îles Salomon,11.702416562102936,1875.738238514462,30.997161107168203,872715.0,20.5714,2000000.0,2
Brunéi Darussalam,6.977946062248863,44598.075685947806,56.68557970238734,1089525.0,34.094649999999994,2000000.0,3
Bulgarie,-3.251387988092669,7673.951741646633,49.44331377948043,1032585.0,30.488450000000004,86000000.0,3
Myanmar,3.978281863660116,1207.80768250844,40.806197796876894,938415.0,30.15265,1000000.0,3
Cameroun,14.53803267021414,1493.7464542269788,16.72384219554031,974915.0,25.5354,1000000.0,2
Canada,5.541002979594278,52264.95996723347,52.12005717008099,1275310.0,38.30675,226000000.0,5
Cabo Verde,5.7721522076453535,3558.7979008125267,37.92260692464358,952285.0,26.882250000000003,9000000.0,3
République centrafricaine,3.5501334058700706,347.9131664152769,37.19062092922275,685835.0,16.8119,1000000.0,2
Sri Lanka,2.914899714386454,3620.448452209803,27.315357561547476,926735.0,21.79415,0.0,2
Tchad,17.960777487701705,1051.306963694387,15.465561224489797,770150.0,22.892799999999998,0.0,2
Chili,4.807602859258542,15941.397938794187,51.82005494505495,1087335.0,31.8864,81000000.0,3
"Chine, continentale",2.8546229043863613,6967.799286174108,40.07345439706182,1134420.0,35.7773,584000000.0,3
Colombie,5.43731191069956,8030.585914097805,52.00372786579683,1023460.0,23.498699999999996,58000000.0,3
Congo,15.45299585584512,2951.05385304899,43.070073557878445,805920.0,18.8559,51000000.0,2
Costa Rica,6.251100573698021,10569.665625602238,54.589050219794856,1039520.0,27.40055,8000000.0,3
Cuba,0.9055280954828993,6760.1534397454925,34.96588157605107,1244285.0,33.1639,195000000.0,3
Chypre,5.763233394633516,21056.003147139247,58.04664347377915,966885.0,28.32765,13000000.0,3
Azerbaïdjan,6.386203528760426,7901.7834615285865,32.292002147074605,1138070.0,33.999750000000006,5000000.0,3
Bénin,15.034467390509466,910.6692014384397,22.11702623001707,955935.0,23.51695,185000000.0,2
